14-DigitPINNumber,StreetNumber,Dir.,StreetName,Type,Sq.Ft.,Ward,CommunityArea,ZoningClassification,TIFDistrict,Location
20-20-308-034-0000,1552,W,69TH,ST,"3,126",16,WEST ENGLEWOOD,B3-1,63rd/Ashland,"1552 W 69TH ST
CHICAGO, IL
(41.768564, -87.663492)"
25-28-109-018-0000,12030,S,UNION,AVE,"3,782",34,WEST PULLMAN,RS-3,119th/Halsted with Amendment,"12030 S UNION AVE
CHICAGO, IL
(41.675457, -87.639436)"
20-19-220-015-0000,6545,S,WOOD,,"3,719",15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6545 S WOOD
CHICAGO, IL
(41.774961, -87.668966)"
20-33-300-011-0000,8331,S,HALSTED,ST,"3,127",21,AUBURN GRESHAM,M1-2,NOT IN TIF,"8331 S HALSTED ST
CHICAGO, IL
(41.742328, -87.643811)"
20-08-129-038-0000,1324,W,51ST,ST,"3,100",20,NEW CITY,B3-2,NOT IN TIF,"1324 W 51ST ST
CHICAGO, IL
(41.801426, -87.65853)"
16-23-413-033-0000,1832,S,SAWYER,AVE,"3,124",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1832 S SAWYER AVE
CHICAGO, IL
(41.856232, -87.706586)"
26-06-419-026-0000,9310,S,BRANDON,AVE,"9,749",10,SOUTH CHICAGO,RS-2,South Chicago,"9310 S BRANDON AVE
CHICAGO, IL
(41.726792, -87.54681)"
20-08-307-014-0000,5129,S,ELIZABETH,ST,"3,161",20,NEW CITY,RT-4,NOT IN TIF,"5129 S ELIZABETH ST
CHICAGO, IL
(41.800575, -87.656251)"
16-15-101-034-0000,4619,W,MADISON,ST,"32,877",28,AUSTIN,RT-4/C2-2,Madison/Austin,"4619 W MADISON ST
CHICAGO, IL
(41.880507, -87.740779)"
20-17-423-047-0000,806,W,61ST,,467,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"806 W 61ST
CHICAGO, IL
(41.783385, -87.645653)"
25-15-317-024-0000,10912,S,MICHIGAN,AVE,"3,420",9,ROSELAND,B3-2,Roseland/Michigan,"10912 S MICHIGAN AVE
CHICAGO, IL
(41.695823, -87.620811)"
20-08-129-023-0000,5010,S,THROOP,ST,"3,110",20,NEW CITY,RS-3,NOT IN TIF,"5010 S THROOP ST
CHICAGO, IL
(41.802822, -87.657516)"
20-02-102-030-0000,3982,S,ELLIS,AVE,"5,916",4,OAKLAND,RM-5,NOT IN TIF,"3982 S ELLIS AVE
CHICAGO, IL
(41.822086, -87.603896)"
16-15-211-046-0000,144,S,PULASKI,RD,"6,263",28,WEST GARFIELD PARK,B3-2,NOT IN TIF,"144 S PULASKI RD
CHICAGO, IL
(41.878686, -87.725574)"
20-15-103-014-0000,225,E,GARFIELD,BLVD,"1,202",3,WASHINGTON PARK,B1-2,47th/State,"225 E GARFIELD BLVD
CHICAGO, IL
(41.79445, -87.619767)"
20-08-308-028-0000,5224,S,JUSTINE,ST,"3,026",16,NEW CITY,RS-3,NOT IN TIF,"5224 S JUSTINE ST
CHICAGO, IL
(41.798813, -87.663484)"
16-09-408-018-0000,205,N,LECLAIRE,AVE,"2,780",28,AUSTIN,RS-3,NOT IN TIF,"205 N LECLAIRE AVE
CHICAGO, IL
(41.884538, -87.752774)"
16-22-225-025-0000,1522,S,TRIPP,AVE,"4,186",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1522 S TRIPP AVE
CHICAGO, IL
(41.859803, -87.731102)"
25-25-208-015-0000,12335,S,PAXTON,AVE,"3,124",10,SOUTH DEERING,M3-3,Lake Calumet Ind. Corridor,"12335 S PAXTON AVE
CHICAGO, IL
(41.670546, -87.569133)"
20-28-107-026-0000,7120,S,STEWART,,"6,204",6,ENGLEWOOD,RT-4,67th/Wentworth,"7120 S STEWART
CHICAGO, IL
(41.764131, -87.634698)"
16-13-328-027-0000,1136,S,RICHMOND,ST,"3,132",28,NORTH LAWNDALE,RT-4,Midwest,"1136 S RICHMOND ST
CHICAGO, IL
(41.867198, -87.699583)"
20-08-216-010-0000,5025,S,ABERDEEN,ST,"3,117",20,NEW CITY,RS-3,NOT IN TIF,"5025 S ABERDEEN ST
CHICAGO, IL
(41.802559, -87.652639)"
20-18-427-023-0000,6212,S,WOOD,,"2,980",15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6212 S WOOD
CHICAGO, IL
(41.780991, -87.669094)"
16-24-311-010-0000,2112,S,ALBANY,AVE,"2,981",24,SOUTH LAWNDALE,M1-2,Ogden/Pulaski,"2112 S ALBANY AVE
CHICAGO, IL
(41.853195, -87.702846)"
26-05-113-022-0000,9116,S,MACKINAW,AVE,"3,532",10,SOUTH CHICAGO,RT-4,South Chicago,"9116 S MACKINAW AVE
CHICAGO, IL
(41.729633, -87.542957)"
17-07-314-026-0000,2134,W,LAKE,ST,"6,714",27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2134 W LAKE ST
CHICAGO, IL
(41.884865, -87.68002)"
20-18-225-023-0000,5834,S,WOLCOTT,AVE,"3,100",15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5834 S WOLCOTT AVE
CHICAGO, IL
(41.787376, -87.671676)"
16-22-107-019-0000,1247,S,KILBOURN,AVE,"50,810",24,NORTH LAWNDALE,M2-3,Roosevelt-Cicero Ind. Corridor,"1247 S KILBOURN AVE
CHICAGO, IL
(41.864483, -87.737325)"
25-34-409-003-0000,911,E,134TH,PL,"5,279",9,RIVERDALE,RS-2,NOT IN TIF,"911 E 134TH PL
CHICAGO, IL
(41.650588, -87.599215)"
16-11-120-012-0000,519,N,SPRINGFIELD,AVE,"3,199",37,HUMBOLDT PARK,RS-3,Chicago/Central Park,"519 N SPRINGFIELD AVE
CHICAGO, IL
(41.890439, -87.7235)"
20-15-312-032-0000,6133,S,STATE,ST,"5,106",20,WASHINGTON PARK,M1-2,Washington Park,"6133 S STATE ST
CHICAGO, IL
(41.783166, -87.625431)"
21-30-118-008-0000,7410,S,COLFAX,AVE,"2,737",7,SOUTH SHORE,RT-4,NOT IN TIF,"7410 S COLFAX AVE
CHICAGO, IL
(41.760581, -87.562362)"
20-16-318-013-0000,727,W,61ST,PL,"3,150",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"727 W 61ST PL
CHICAGO, IL
(41.782504, -87.643176)"
20-18-204-024-0000,5526,S,HERMITAGE,,"3,127",15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5526 S HERMITAGE
CHICAGO, IL
(41.79289, -87.668182)"
20-16-207-038-0000,5647,S,LAFAYETTE,AVE,"2,501",3,WASHINGTON PARK,RS-3,Washington Park,"5647 S LAFAYETTE AVE
CHICAGO, IL
(41.79148, -87.626726)"
20-02-103-030-0000,3966,S,LAKE PARK,,"10,163",4,OAKLAND,RM-5,NOT IN TIF,"3966 S LAKE PARK
CHICAGO, IL
(41.885531, -87.725385)"
20-17-406-006-0000,5913,S,PEORIA,ST,"3,140",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5913 S PEORIA ST
CHICAGO, IL
(41.786537, -87.647399)"
25-21-426-038-0000,152,W,119TH,ST,"8,329",34,WEST PULLMAN,B1-1,119th/Halsted with Amendment,"152 W 119TH ST
CHICAGO, IL
(41.677969, -87.627196)"
16-22-409-036-0000,4327,W,18TH,ST,"141,969",24,NORTH LAWNDALE,PD1268/RT-4,Ogden/Pulaski,"4327 W 18TH ST
CHICAGO, IL
(41.856921, -87.733328)"
20-20-327-025-0000,7018,S,LOOMIS,BLVD,"3,132",6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7018 S LOOMIS BLVD
CHICAGO, IL
(41.766021, -87.659016)"
16-13-212-001-0000,2759,W,ADAMS,ST,"4,065",27,EAST GARFIELD PARK,B3-2,Midwest,"2759 W ADAMS ST
CHICAGO, IL
(41.878368, -87.69605)"
20-33-112-039-0000,510,W,81ST,ST,"3,017",17,CHATHAM,RS-3,NOT IN TIF,"510 W 81ST ST
CHICAGO, IL
(41.747084, -87.636838)"
20-08-308-003-0000,5205,S,ASHLAND,AVE,"2,798",16,NEW CITY,C1-2,47th/Ashland,"5205 S ASHLAND AVE
CHICAGO, IL
(41.79947, -87.664634)"
20-20-310-008-0000,6821,S,LAFLIN,ST,"3,128",17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6821 S LAFLIN ST
CHICAGO, IL
(41.769782, -87.661551)"
25-16-206-022-0000,243,W,104TH,ST,"6,223",34,ROSELAND,RS-3,NOT IN TIF,"243 W 104TH ST
CHICAGO, IL
(41.705265, -87.629326)"
20-33-100-029-0000,7921,S,HALSTED,ST,"5,012",17,AUBURN GRESHAM,B1-1,79th Street Corridor,"7921 S HALSTED ST
CHICAGO, IL
(41.750019, -87.644045)"
20-33-112-044-0000,8031,S,PARNELL,AVE,"2,521",17,CHATHAM,RS-3,NOT IN TIF,"8031 S PARNELL AVE
CHICAGO, IL
(41.747959, -87.637863)"
20-17-118-006-0000,5715,S,LAFLIN,ST,"3,083",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5715 S LAFLIN ST
CHICAGO, IL
(41.790004, -87.662015)"
16-09-318-010-0000,44,N,PINE,AVE,"5,536",29,AUSTIN,RT-4,NOT IN TIF,"44 N PINE AVE
CHICAGO, IL
(41.881537, -87.763189)"
20-03-400-019-0000,431,E,43RD,ST,"11,933",3,GRAND BOULEVARD,B3-3,47th/King,"431 E 43RD ST
CHICAGO, IL
(41.816684, -87.615256)"
16-23-309-001-0000,1801,S,HARDING,AVE,"6,468",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1801 S HARDING AVE
CHICAGO, IL
(41.856791, -87.723649)"
16-11-114-025-0000,646,N,RIDGEWAY,AVE,"3,037",27,HUMBOLDT PARK,RT-4,Chicago/Central Park,"646 N RIDGEWAY AVE
CHICAGO, IL
(41.893134, -87.71991)"
26-06-204-005-0000,8713,S,HOUSTON,,"3,522",10,SOUTH CHICAGO,RS-3,NOT IN TIF,"8713 S HOUSTON
CHICAGO, IL
(41.737173, -87.550043)"
16-15-427-012-0000,4129,W,GRENSHAW,ST,"3,087",24,NORTH LAWNDALE,C1-2,Ogden/Pulaski,"4129 W GRENSHAW ST
CHICAGO, IL
(41.86704, -87.728822)"
20-26-419-001-0000,7600,S,AVALON,AVE,"5,615",8,AVALON PARK,M1-2,NOT IN TIF,"7600 S AVALON AVE
CHICAGO, IL
(41.755704, -87.594347)"
25-22-101-026-0000,32,E,112TH,ST,"3,103",9,ROSELAND,B1-2,Roseland/Michigan,"32 E 112TH ST
CHICAGO, IL
(41.690784, -87.621747)"
20-21-122-008-0000,419,W,65TH,PL,"5,921",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"419 W 65TH PL
CHICAGO, IL
(41.775314, -87.635684)"
20-32-430-025-0000,8680,S,VINCENNES,,"3,327",21,AUBURN GRESHAM,B3-1,NOT IN TIF,"8680 S VINCENNES
CHICAGO, IL
(41.736421, -87.645053)"
25-05-111-025-0000,8818,S,LOOMIS,ST,"4,070",21,AUBURN GRESHAM,RS-3,NOT IN TIF,"8818 S LOOMIS ST
CHICAGO, IL
(41.733307, -87.658116)"
16-11-120-034-0000,3852,W,FERDINAND,ST,"3,031",37,HUMBOLDT PARK,RS-3,Chicago/Central Park,"3852 W FERDINAND ST
CHICAGO, IL
(41.889887, -87.723018)"
20-15-412-001-0000,601,E,61,ST,"6,983",20,WOODLAWN,B2-1/RM-5,West Woodlawn,"601 E 61 ST
CHICAGO, IL
(41.783961, -87.610873)"
26-05-107-033-0000,8928,S,AVENUE O,AVE,"3,004",10,SOUTH CHICAGO,RS-2,South Chicago,"8928 S AVENUE O AVE
CHICAGO, IL
(41.733132, -87.540294)"
26-07-163-021-0000,10110,S,EXCHANGE,AVE,"3,465",10,SOUTH DEERING,RS-2,Commercial Avenue,"10110 S EXCHANGE AVE
CHICAGO, IL
(41.711477, -87.55231)"
20-03-424-024-0000,542,E,47TH,ST,"6,236",3,GRAND BOULEVARD,B1-3,47th/King,"542 E 47TH ST
CHICAGO, IL
(41.809481, -87.612115)"
20-28-202-004-0000,7109,S,PRINCETON,AVE,"2,074",6,GREATER GRAND CROSSING,RT-4,67th/Wentworth,"7109 S PRINCETON AVE
CHICAGO, IL
(41.764993, -87.632198)"
16-10-402-030-0000,4118,W,CARROLL,AVE,"3,126",28,WEST GARFIELD PARK,RS-3,Northwest Industrial Corridor,"4118 W CARROLL AVE
CHICAGO, IL
(41.886811, -87.72745)"
16-23-305-021-0000,3714,W,18TH,ST,"3,003",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"3714 W 18TH ST
CHICAGO, IL
(41.857132, -87.718666)"
17-18-102-020-0000,21,S,LEAVITT,ST,"2,097",27,NEAR WEST SIDE,RM-5,Central West,"21 S LEAVITT ST
CHICAGO, IL
(41.880682, -87.681537)"
16-23-101-007-0000,3905,W,ROOSEVELT,RD,"4,506",24,NORTH LAWNDALE,B3-2,Midwest,"3905 W ROOSEVELT RD
CHICAGO, IL
(41.866207, -87.722884)"
16-13-404-025-0000,2742,W,LEXINGTON,ST,"3,254",28,EAST GARFIELD PARK,RT-4,Western/Ogden Ind. Corridor,"2742 W LEXINGTON ST
CHICAGO, IL
(41.871974, -87.695261)"
20-19-417-018-0000,6949,S,WINCHESTER,,"3,124",17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6949 S WINCHESTER
CHICAGO, IL
(41.767486, -87.672361)"
20-16-220-044-0000,5824,S,LAFAYETTE,AVE,"2,474",20,WASHINGTON PARK,RS-3,Washington Park,"5824 S LAFAYETTE AVE
CHICAGO, IL
(41.788263, -87.626617)"
20-05-305-041-0000,4532,S,MCDOWELL,AVE,"6,265",15,NEW CITY,RS-1,47th/Ashland,"4532 S MCDOWELL AVE
CHICAGO, IL
(41.811526, -87.661179)"
20-23-420-020-0000,1300,E,71ST,ST,"19,668",5,GREATER GRAND CROSSING,M1-2,71st/Stony Island,"1300 E 71ST ST
CHICAGO, IL
(41.766009, -87.59292)"
20-21-218-020-0000,102,W,MARQUETTE,RD,"3,048",6,GREATER GRAND CROSSING,RS-3,Englewood Neighborhood,"102 W MARQUETTE RD
CHICAGO, IL
(41.772787, -87.627688)"
25-16-202-059-0000,56,W,103RD,PL,"4,163",34,ROSELAND,RS-3,NOT IN TIF,"56 W 103RD PL
CHICAGO, IL
(41.706221, -87.625703)"
13-33-408-039-0000,5133,,MOFFAT,,"29,798",37,AUSTIN,PD 1149,NOT IN TIF,"5133 MOFFAT
CHICAGO, IL
(41.913632, -87.754206)"
20-08-127-008-0000,5019,S,BISHOP,ST,"3,139",20,NEW CITY,RT-4,47th/Ashland,"5019 S BISHOP ST
CHICAGO, IL
(41.802568, -87.661162)"
20-10-305-023-0000,5156,S,CALUMET,AVE,"9,024",3,WASHINGTON PARK,RM-5,47th/State,"5156 S CALUMET AVE
CHICAGO, IL
(41.80045, -87.61771)"
20-16-315-093-0000,751,W,61ST,,969,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"751 W 61ST
CHICAGO, IL
(41.783396, -87.644693)"
16-16-205-024-0000,4835,W,MONROE,,"3,139",28,AUSTIN,RS-3,NOT IN TIF,"4835 W MONROE
CHICAGO, IL
(41.879504, -87.745975)"
20-15-315-039-0000,6120,S,PRAIRIE,AVE,"6,466",20,WASHINGTON PARK,RM-5,Washington Park,"6120 S PRAIRIE AVE
CHICAGO, IL
(41.783145, -87.618937)"
17-34-306-045-0000,3671,S,STATE,ST,"3,185",3,DOUGLAS,C2-3,Bronzeville,"3671 S STATE ST
CHICAGO, IL
(41.827518, -87.62642)"
25-05-220-016-0000,8957,S,CARPENTER,ST,"3,017",21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"8957 S CARPENTER ST
CHICAGO, IL
(41.73073, -87.649555)"
20-17-423-032-0000,6138,S,HALSTED,ST,"3,087",16,ENGLEWOOD,PD1227/B2-2,Englewood Neighborhood,"6138 S HALSTED ST
CHICAGO, IL
(41.782204, -87.644946)"
20-10-309-058-0000,5436,S,MICHIGAN,AVE,"6,442",3,WASHINGTON PARK,RM-5,47th/State,"5436 S MICHIGAN AVE
CHICAGO, IL
(41.795515, -87.622478)"
17-09-429-012-0000,300,W,RANDOLPH,,"1,420",42,LOOP,PD 1060,NOT IN TIF,"300 W RANDOLPH
CHICAGO, IL
(41.884477, -87.635365)"
20-20-209-016-0000,6443,S,MAY,ST,"3,112",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6443 S MAY ST
CHICAGO, IL
(41.776521, -87.653223)"
16-13-216-005-0000,2747,W,JACKSON,BLVD,"2,504",27,EAST GARFIELD PARK,RT-4,Midwest,"2747 W JACKSON BLVD
CHICAGO, IL
(41.877482, -87.694904)"
16-15-414-004-0000,809,S,KARLOV,AVE,"3,127",24,WEST GARFIELD PARK,RS-3,Midwest,"809 S KARLOV AVE
CHICAGO, IL
(41.870544, -87.727786)"
20-09-211-005-0000,315,W,48TH,PL,"3,925",3,FULLER PARK,RS-3,47th/Halsted,"315 W 48TH PL
CHICAGO, IL
(41.806033, -87.633969)"
20-17-315-029-0000,6020,S,RACINE,AVE,"3,115",16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6020 S RACINE AVE
CHICAGO, IL
(41.784703, -87.654655)"
20-08-406-018-0000,927,W,51ST,PL,"3,059",20,NEW CITY,RS-3,NOT IN TIF,"927 W 51ST PL
CHICAGO, IL
(41.800641, -87.648826)"
14-18-124-057-0000,4115,N,LINCOLN,AVE,"6,229",47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4115 N LINCOLN AVE
CHICAGO, IL
(41.963545, -87.6852)"
26-06-419-028-0000,9318,S,BRANDON,AVE,"9,751",10,SOUTH CHICAGO,RS-2,South Chicago,"9318 S BRANDON AVE
CHICAGO, IL
(41.726764, -87.54681)"
25-34-409-002-0000,907,E,134TH,PL,"5,284",9,RIVERDALE,RS-2,NOT IN TIF,"907 E 134TH PL
CHICAGO, IL
(41.650588, -87.599215)"
20-33-121-017-0000,8104,S,VINCENNES,AVE,"5,912",21,CHATHAM,B3-1,NOT IN TIF,"8104 S VINCENNES AVE
CHICAGO, IL
(41.746934, -87.635301)"
25-19-202-008-0000,11140,S,VINCENNES,AVE,"9,359",19,MORGAN PARK,RS-2,Western Avenue/Rock Island,"11140 S VINCENNES AVE
CHICAGO, IL
(41.691237, -87.663958)"
16-22-207-021-0000,4018,W,13TH,ST,"3,115",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"4018 W 13TH ST
CHICAGO, IL
(41.864345, -87.725948)"
16-14-500-074-0000,3610,W,FLOURNOY,ST,651,24,EAST GARFIELD PARK,RT-4,Midwest,"3610 W FLOURNOY ST
CHICAGO, IL
(41.872659, -87.71587)"
20-23-225-010-0000,1400,E,66TH,PL,"24,042",5,WOODLAWN,RM-5,71st/Stony Island,"1400 E 66TH PL
CHICAGO, IL
(41.774223, -87.590843)"
20-03-426-010-0000,4617,S,CHAMPLAIN,AVE,"3,230",4,GRAND BOULEVARD,RT-4,43rd/Cottage Grove,"4617 S CHAMPLAIN AVE
CHICAGO, IL
(41.810789, -87.610249)"
16-11-226-001-0000,3455,W,FRANKLIN,BLVD,"12,103",27,HUMBOLDT PARK,RM-5,Chicago/Central Park,"3455 W FRANKLIN BLVD
CHICAGO, IL
(41.889759, -87.713008)"
16-09-110-015-0000,619,N,LONG,AVE,"3,419",37,AUSTIN,RS-3,NOT IN TIF,"619 N LONG AVE
CHICAGO, IL
(41.891678, -87.760515)"
20-21-204-033-0000,6214,S,STEWART,AVE,"6,415",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6214 S STEWART AVE
CHICAGO, IL
(41.777523, -87.634972)"
16-13-123-027-0000,2850,W,VAN BUREN,ST,"3,127",27,EAST GARFIELD PARK,C1-3,Midwest,"2850 W VAN BUREN ST
CHICAGO, IL
(41.875986, -87.697732)"
25-16-202-012-0000,123,W,103RD,ST,"4,289",34,ROSELAND,RS-3,Roseland/Michigan,"123 W 103RD ST
CHICAGO, IL
(41.707121, -87.627009)"
16-11-129-023-0000,403,N,AVERS,AVE,"3,016",37,HUMBOLDT PARK,RS-3,Chicago/Central Park,"403 N AVERS AVE
CHICAGO, IL
(41.888205, -87.722209)"
16-22-203-039-0000,1250,S,KEELER,AVE,"6,286",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1250 S KEELER AVE
CHICAGO, IL
(41.864569, -87.729993)"
16-11-201-041-0000,3500,W,HURON,ST,"3,064",27,HUMBOLDT PARK,RS-3,Chicago/Central Park,"3500 W HURON ST
CHICAGO, IL
(41.893671, -87.713978)"
20-15-123-013-0000,5816,S,CALUMET,AVE,"7,584",20,WASHINGTON PARK,RM-5,Washington Park,"5816 S CALUMET AVE
CHICAGO, IL
(41.788627, -87.617424)"
20-24-324-025-0000,1700,E,71ST,ST,"18,085",5,SOUTH SHORE,B3-2,71st/Stony Island,"1700 E 71ST ST
CHICAGO, IL
(41.766155, -87.583063)"
20-20-308-025-0000,6826,S,JUSTINE,ST,"3,041",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6826 S JUSTINE ST
CHICAGO, IL
(41.769605, -87.66277)"
16-13-329-032-0000,2920,W,ROOSEVELT,RD,"5,007",28,NORTH LAWNDALE,C1-3,Midwest,"2920 W ROOSEVELT RD
CHICAGO, IL
(41.866504, -87.699404)"
20-03-425-032-0000,4644,S,CHAMPLAIN,AVE,"5,582",4,GRAND BOULEVARD,B1-1,43rd/Cottage Grove,"4644 S CHAMPLAIN AVE
CHICAGO, IL
(41.809913, -87.610207)"
20-08-124-042-0000,5042,S,JUSTINE,ST,"2,908",20,NEW CITY,RT-4,47th/Ashland,"5042 S JUSTINE ST
CHICAGO, IL
(41.801904, -87.663572)"
16-12-320-005-0000,3041,W,LAKE,ST,"2,260",27,EAST GARFIELD PARK,M1-2,Kinzie Industrial Corridor,"3041 W LAKE ST
CHICAGO, IL
(41.884161, -87.702884)"
25-22-318-028-0000,11822,S,MICHIGAN,AVE,"3,139",9,WEST PULLMAN,B3-2,Roseland/Michigan,"11822 S MICHIGAN AVE
CHICAGO, IL
(41.67919, -87.620566)"
20-26-421-002-0000,1431,E,77TH,ST,"2,061",5,SOUTH SHORE,RS-3,71st/Stony Island,"1431 E 77TH ST
CHICAGO, IL
(41.755101, -87.589182)"
20-08-410-042-0000,5254,S,CARPENTER,ST,"4,777",20,NEW CITY,RS-3,NOT IN TIF,"5254 S CARPENTER ST
CHICAGO, IL
(41.798105, -87.651331)"
20-10-218-001-0000,4901,S,FORRESTVILLE,AVE,"10,094",4,GRAND BOULEVARD,RM-5,NOT IN TIF,"4901 S FORRESTVILLE AVE
CHICAGO, IL
(41.805808, -87.61261)"
20-14-419-007-0000,1538,E,63RD,ST,"30,197",5,WOODLAWN,RM-6,NOT IN TIF,"1538 E 63RD ST
CHICAGO, IL
(41.780622, -87.587761)"
20-09-201-072-0000,322,W,48TH,PL,"3,741",3,FULLER PARK,RS-3,47th/Halsted,"322 W 48TH PL
CHICAGO, IL
(41.806028, -87.634207)"
25-29-109-020-0000,12100,S,LOOMIS,ST,"3,135",34,WEST PULLMAN,RT-4,119th & I-57 Redevelopment,"12100 S LOOMIS ST
CHICAGO, IL
(41.673973, -87.656456)"
16-15-300-038-0000,608,S,KILPATRICK,AVE,"3,218",24,AUSTIN,M1-2,NOT IN TIF,"608 S KILPATRICK AVE
CHICAGO, IL
(41.872794, -87.742524)"
25-03-404-020-0000,452,E,92ND,ST,"3,102",9,CHATHAM,RS-2,NOT IN TIF,"452 E 92ND ST
CHICAGO, IL
(41.727413, -87.612221)"
20-30-200-046-0000,7158,S,WINCHESTER,,"3,113",17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7158 S WINCHESTER
CHICAGO, IL
(41.763642, -87.672306)"
20-08-130-008-0000,5021,S,THROOP,ST,"3,086",20,NEW CITY,RS-3,NOT IN TIF,"5021 S THROOP ST
CHICAGO, IL
(41.80262, -87.657511)"
16-12-317-002-0000,135,N,KEDZIE,AVE,"2,735",27,EAST GARFIELD PARK,C1-3,Kinzie Industrial Corridor,"135 N KEDZIE AVE
CHICAGO, IL
(41.88388, -87.70622)"
25-22-318-024-0000,11810,S,MICHIGAN,AVE,"4,707",9,WEST PULLMAN,B3-2,Roseland/Michigan,"11810 S MICHIGAN AVE
CHICAGO, IL
(41.679529, -87.620574)"
20-16-200-028-0000,5542,S,SHIELDS,,"3,132",3,ENGLEWOOD,RS-3,NOT IN TIF,"5542 S SHIELDS
CHICAGO, IL
(41.792887, -87.63412)"
16-11-105-005-0000,3713,W,CHICAGO,AVE,"2,926",27,HUMBOLDT PARK,B3-2,Chicago/Central Park,"3713 W CHICAGO AVE
CHICAGO, IL
(41.895464, -87.719371)"
20-21-420-014-0000,337,W,70,ST,"13,360",6,GREATER GRAND CROSSING,M1-2,67th/Wentworth,"337 W 70 ST
CHICAGO, IL
(41.767195, -87.633826)"
20-15-113-029-0000,5732,S,WABASH,AVE,"5,086",20,WASHINGTON PARK,RT-4,Washington Park,"5732 S WABASH AVE
CHICAGO, IL
(41.790021, -87.623955)"
20-17-400-004-0000,1149,W,59TH,ST,"3,001",16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1149 W 59TH ST
CHICAGO, IL
(41.78691, -87.654203)"
16-23-421-023-0000,1904,S,SAWYER,AVE,"4,997",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1904 S SAWYER AVE
CHICAGO, IL
(41.855151, -87.706569)"
20-16-219-032-0000,5847,S,LA SALLE,ST,"3,528",20,ENGLEWOOD,RS-3,Washington Park,"5847 S LA SALLE ST
CHICAGO, IL
(41.787608, -87.629098)"
16-11-128-004-0000,3851,W,FERDINAND,ST,"2,500",37,HUMBOLDT PARK,RS-3,Chicago/Central Park,"3851 W FERDINAND ST
CHICAGO, IL
(41.889888, -87.722937)"
20-14-316-030-0000,6200,S,GREENWOOD,AVE,"2,599",20,WOODLAWN,RM-5,Woodlawn,"6200 S GREENWOOD AVE
CHICAGO, IL
(41.782292, -87.599476)"
20-09-111-015-0000,735,W,49TH,PL,"3,065",20,NEW CITY,RS-3,47th/Halsted,"735 W 49TH PL
CHICAGO, IL
(41.804362, -87.644434)"
16-11-302-009-0000,368,N,AVERS,AVE,"3,124",37,WEST GARFIELD PARK,RS-3,Northwest Industrial Corridor,"368 N AVERS AVE
CHICAGO, IL
(41.887143, -87.722523)"
16-23-417-016-0000,1949,S,ST LOUIS,AVE,"3,022",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1949 S ST LOUIS AVE
CHICAGO, IL
(41.853926, -87.712375)"
20-08-217-008-0000,5021,S,CARPENTER,ST,"3,101",20,NEW CITY,RS-3,NOT IN TIF,"5021 S CARPENTER ST
CHICAGO, IL
(41.802685, -87.651443)"
16-23-303-024-0000,1600,S,HAMLIN,AVE,"2,904",24,NORTH LAWNDALE,B3-2,Midwest,"1600 S HAMLIN AVE
CHICAGO, IL
(41.858797, -87.720058)"
16-22-205-036-0000,1240,S,KARLOV,AVE,"3,133",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1240 S KARLOV AVE
CHICAGO, IL
(41.864962, -87.727582)"
25-21-426-022-0000,11838,S,LA SALLE,ST,"3,734",34,WEST PULLMAN,RS-3,NOT IN TIF,"11838 S LA SALLE ST
CHICAGO, IL
(41.678649, -87.626318)"
20-07-409-020-0000,5249,S,WINCHESTER,AVE,"4,621",16,NEW CITY,RS-3,NOT IN TIF,"5249 S WINCHESTER AVE
CHICAGO, IL
(41.798001, -87.673177)"
20-17-321-048-0000,6156,S,THROOP,ST,"2,943",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6156 S THROOP ST
CHICAGO, IL
(41.782165, -87.657121)"
